,period,region,technology,cost
311,2010,LAM,Walk,1.00206188445525
312,2015,LAM,Walk,1.1488628652476398
313,2020,LAM,Walk,1.32235645066122
314,2025,LAM,Walk,1.49221190578455
315,2030,LAM,Walk,1.6671613164033503
316,2035,LAM,Walk,1.8503852992246899
317,2040,LAM,Walk,2.04886754229669
318,2045,LAM,Walk,2.2649829141162403
319,2050,LAM,Walk,2.5030065191916804
320,2055,LAM,Walk,2.76416911175361
321,2060,LAM,Walk,3.03589491399032
322,2065,LAM,Walk,3.32922037395316
323,2070,LAM,Walk,3.62235342180511
324,2075,LAM,Walk,3.93876166321669
325,2080,LAM,Walk,4.27186772403247
326,2085,LAM,Walk,4.6266721876172
327,2090,LAM,Walk,5.004076473813799
328,2095,LAM,Walk,5.40373533036696
329,2100,LAM,Walk,5.82415751335681
330,1975,CAZ,Walk,2.78727999253367
331,1990,CAZ,Walk,3.60780159976574
332,2005,CAZ,Walk,4.84135699584953
333,2010,CAZ,Walk,5.00386422514632
334,2015,CAZ,Walk,5.44221198441291
335,2020,CAZ,Walk,6.57328104539233
336,2025,CAZ,Walk,6.8833459144703
337,2030,CAZ,Walk,7.1752754382167
338,2035,CAZ,Walk,7.489260011471259
339,2040,CAZ,Walk,7.825077062943031
340,2045,CAZ,Walk,8.16622732404692
341,2050,CAZ,Walk,8.47881481599881
342,2055,CAZ,Walk,8.81123183365238
343,2060,CAZ,Walk,9.19251682614511
344,2065,CAZ,Walk,9.643357671300599
345,2070,CAZ,Walk,10.1437204938357
346,2075,CAZ,Walk,10.661706977106
347,2080,CAZ,Walk,11.2048556440484
348,2085,CAZ,Walk,11.7678762858975
349,2090,CAZ,Walk,12.368551007144001
350,2095,CAZ,Walk,13.0325482460585
351,2100,CAZ,Walk,13.7645168468544
352,1975,REF,Walk,0.6943778995951619
353,1975,OAS,Walk,0.135462381011563
354,1990,REF,Walk,0.805566110223757
355,1990,OAS,Walk,0.34590666783676094
356,2005,REF,Walk,0.7483074342291641
357,2005,OAS,Walk,0.6972438564709731
358,2010,REF,Walk,0.888524821388018
359,2010,OAS,Walk,0.7966110715871809
360,2015,REF,Walk,1.05094235529421
361,2015,OAS,Walk,0.93347636417947
362,2020,REF,Walk,1.27401780641344
363,2020,OAS,Walk,1.17676039530451
364,2025,REF,Walk,1.52125908260997
365,2025,OAS,Walk,1.3244908449488701
366,2030,REF,Walk,1.7909821273658402
367,2030,OAS,Walk,1.459469032204
368,2035,REF,Walk,2.05840753817795
369,2035,OAS,Walk,1.5854926656135602
370,2040,REF,Walk,2.30664857838678
371,2040,OAS,Walk,1.7082355973738501
372,2045,REF,Walk,2.52136540843606
373,2045,OAS,Walk,1.83514899936467
374,2050,REF,Walk,2.7106742633987997
375,2050,OAS,Walk,1.96684217691339
376,2055,REF,Walk,2.8697277856668504
377,2055,OAS,Walk,2.10531368236221
378,2060,REF,Walk,3.07835703456938
379,2060,OAS,Walk,2.24479684191463
380,2065,REF,Walk,3.3040828963994997
381,2065,OAS,Walk,2.39482732346357
382,2070,REF,Walk,3.53338293012096
383,2070,OAS,Walk,2.553964649737
384,2075,REF,Walk,3.7440754163403898
385,2075,OAS,Walk,2.72355228480695
386,2080,REF,Walk,3.9477601727511202
387,2080,OAS,Walk,2.9012883193382595
388,2085,REF,Walk,4.15693758597983
